|                            Task                            |Version|      Metric      |Value |   |Stderr|
|lighteval:mmlu_redux_2:high_school_geography:0              |       |pass@k_with_k     |0.2100|±  |0.0409|
|                                                            |       |acc               |0.4600|±  |0.0501|
|lighteval:mmlu_redux_2:high_school_government_and_politics:0|       |pass@k_with_k     |0.1500|±  |0.0359|
|                                                            |       |acc               |0.6100|±  |0.0490|
|lighteval:mmlu_redux_2:high_school_macroeconomics:0         |       |pass@k_with_k     |0.1400|±  |0.0349|
|                                                            |       |acc               |0.4100|±  |0.0494|
|lighteval:mmlu_redux_2:high_school_mathematics:0            |       |pass@k_with_k     |0.1000|±  |0.0302|
|                                                            |       |acc               |0.2300|±  |0.0423|
|lighteval:mmlu_redux_2:high_school_microeconomics:0         |       |pass@k_with_k     |0.1600|±  |0.0368|
|                                                            |       |acc               |0.6000|±  |0.0492|
|lighteval:mmlu_redux_2:high_school_physics:0                |       |pass@k_with_k     |0.1900|±  |0.0394|
|                                                            |       |acc               |0.3300|±  |0.0473|
|lighteval:mmlu_redux_2:high_school_psychology:0             |       |pass@k_with_k     |0.2300|±  |0.0423|
|                                                            |       |acc               |0.5800|±  |0.0496|
|lighteval:mmlu_redux_2:high_school_statistics:0             |       |pass@k_with_k     |0.1300|±  |0.0338|
|                                                            |       |acc               |0.4500|±  |0.0500|
|lighteval:mmlu_redux_2:high_school_us_history:0             |       |pass@k_with_k     |0.2200|±  |0.0416|
|                                                            |       |acc               |0.6200|±  |0.0488|
|lighteval:mmlu_redux_2:high_school_world_history:0          |       |pass@k_with_k     |0.2500|±  |0.0435|
|                                                            |       |acc               |0.5400|±  |0.0501|
|lighteval:mmlu_redux_2:human_aging:0                        |       |pass@k_with_k     |0.2100|±  |0.0409|
|                                                            |       |acc               |0.4400|±  |0.0499|
|lighteval:mmlu_redux_2:human_sexuality:0                    |       |pass@k_with_k     |0.2500|±  |0.0435|
|                                                            |       |acc               |0.4600|±  |0.0501|
|lighteval:mmlu_redux_2:international_law:0                  |       |pass@k_with_k     |0.1700|±  |0.0378|
|                                                            |       |acc               |0.5500|±  |0.0500|
|lighteval:mmlu_redux_2:jurisprudence:0                      |       |pass@k_with_k     |0.2800|±  |0.0451|
|                                                            |       |acc               |0.5800|±  |0.0496|
|lighteval:mmlu_redux_2:logical_fallacies:0                  |       |pass@k_with_k     |0.1500|±  |0.0359|
|                                                            |       |acc               |0.5900|±  |0.0494|
|lighteval:mmlu_redux_2:machine_learning:0                   |       |pass@k_with_k     |0.1300|±  |0.0338|
|                                                            |       |acc               |0.3400|±  |0.0476|
|lighteval:mmlu_redux_2:management:0                         |       |pass@k_with_k     |0.2200|±  |0.0416|
|                                                            |       |acc               |0.4600|±  |0.0501|
|lighteval:mmlu_redux_2:marketing:0                          |       |pass@k_with_k     |0.2300|±  |0.0423|
|                                                            |       |acc               |0.6200|±  |0.0488|
|lighteval:mmlu_redux_2:medical_genetics:0                   |       |pass@k_with_k     |0.1200|±  |0.0327|
|                                                            |       |acc               |0.4600|±  |0.0501|
|lighteval:mmlu_redux_2:miscellaneous:0                      |       |pass@k_with_k     |0.1400|±  |0.0349|
|                                                            |       |acc               |0.5700|±  |0.0498|
|lighteval:mmlu_redux_2:moral_disputes:0                     |       |pass@k_with_k     |0.2400|±  |0.0429|
|                                                            |       |acc               |0.4500|±  |0.0500|
|lighteval:mmlu_redux_2:moral_scenarios:0                    |       |pass@k_with_k     |0.1900|±  |0.0394|
|                                                            |       |acc               |0.2100|±  |0.0409|
|lighteval:mmlu_redux_2:nutrition:0                          |       |pass@k_with_k     |0.2200|±  |0.0416|
|                                                            |       |acc               |0.5300|±  |0.0502|
|lighteval:mmlu_redux_2:philosophy:0                         |       |pass@k_with_k     |0.2400|±  |0.0429|
|                                                            |       |acc               |0.4900|±  |0.0502|
|lighteval:mmlu_redux_2:prehistory:0                         |       |pass@k_with_k     |0.2100|±  |0.0409|
|                                                            |       |acc               |0.5000|±  |0.0503|
|lighteval:mmlu_redux_2:professional_accounting:0            |       |pass@k_with_k     |0.1200|±  |0.0327|
|                                                            |       |acc               |0.4200|±  |0.0496|
|lighteval:mmlu_redux_2:professional_law:0                   |       |pass@k_with_k     |0.0500|±  |0.0219|
|                                                            |       |acc               |0.3800|±  |0.0488|
|lighteval:mmlu_redux_2:professional_medicine:0              |       |pass@k_with_k     |0.1400|±  |0.0349|
|                                                            |       |acc               |0.3200|±  |0.0469|
|lighteval:mmlu_redux_2:professional_psychology:0            |       |pass@k_with_k     |0.1600|±  |0.0368|
|                                                            |       |acc               |0.5000|±  |0.0503|
|lighteval:mmlu_redux_2:public_relations:0                   |       |pass@k_with_k     |0.1700|±  |0.0378|
|                                                            |       |acc               |0.3900|±  |0.0490|
|lighteval:mmlu_redux_2:security_studies:0                   |       |pass@k_with_k     |0.2400|±  |0.0429|
|                                                            |       |acc               |0.4000|±  |0.0492|
|lighteval:mmlu_redux_2:sociology:0                          |       |pass@k_with_k     |0.2800|±  |0.0451|
|                                                            |       |acc               |0.6500|±  |0.0479|
|lighteval:mmlu_redux_2:us_foreign_policy:0                  |       |pass@k_with_k     |0.2200|±  |0.0416|
|                                                            |       |acc               |0.4900|±  |0.0502|
|lighteval:mmlu_redux_2:virology:0                           |       |pass@k_with_k     |0.1300|±  |0.0338|
|                                                            |       |acc               |0.3300|±  |0.0473|
|lighteval:mmlu_redux_2:world_religions:0                    |       |pass@k_with_k     |0.2900|±  |0.0456|
|                                                            |       |acc               |0.5700|±  |0.0498|
